sku,price,ProductTitle,Designer,category,template,ReferenceCode,in_stock
141089,720.00,"Louis Vuitton Roxbury Drive Yellow Vernis 2-Way Satchel","Louis Vuitton",Handbags,Handbags,140418-141089-ENC-SH,1
141094,1080.00," Louis Vuitton Gracie MM White Multicolore Monogram Coated Canvas Satchel ","Louis Vuitton",Handbags,Handbags,140419-141094-USB-KA,1
141104,1440.00,"Louis Vuitton Nightbird Pochette Monogram Leather & Snakeskin Clutch","Louis Vuitton",Handbags,Handbags,140419-141104-MSB-SH,1
141318,1140.00," Proenza Schouler Hava Purple Leather Crossbody Bag ","Proenza Schouler",Handbags,Handbags,140569-141318-UTM-SH,1
141322,360.00," Tory Burch Gemini Link Blue Leather Shoulder Bag ","Tory Burch",Handbags,Handbags,140573-141322-PMS-SH,1
141352,2400.00," Goyard St. Louis GM Grey Monogram Coated Canvas Tote ",Goyard,Handbags,Handbags,140595-141352-PSIS-SH,1
141387,660.00," Proenza Schouler PS Courier Red Leather Satchel ","Proenza Schouler",Handbags,Handbags,140608-141387-NTM-SH,1
141416,432.00," Tory Burch Marion Black Leather Satchel ","Tory Burch",Handbags,Handbags,140627-141416-NBE-MZ,1
141417,432.00,"Tory Burch Large Marion Black Leather Satchel","Tory Burch",Handbags,Handbags,140627-141417-NBE-MZ,1
141418,432.00,"Tory Burch Marion Black Leather Large Satchel","Tory Burch",Handbags,Handbags,140627-141418-NBE-MZ,1
141419,432.00,"Tory Burch Marion Black Pebble Leather Satchel","Tory Burch",Handbags,Handbags,140627-141419-NBE-MZ,1
141420,456.00,"Tory Burch Marion Black Leather Saffiano Satchel","Tory Burch",Handbags,Handbags,140627-141420-NBE-SH,1
141422,408.00,"Tory Burch Robinson Black Saffiano Leather Satchel","Tory Burch",Handbags,Handbags,140627-141422-PCI-SH,1
141423,408.00,"Tory Burch Robinson Brown Saffiano Leather Satchel","Tory Burch",Handbags,Handbags,140627-141423-PCI-SH,1
141424,396.00,"Tory Burch Robinson Red Leather Satchel","Tory Burch",Handbags,Handbags,140627-141424-PCI-MZ,1
141425,408.00,"Tory Burch Robinson Red Saffiano Leather Satchel","Tory Burch",Handbags,Handbags,140627-141425-PCI-SH,1
141426,516.00,"Tory Burch Marion Slouchy Black Leather Shoulder Bag","Tory Burch",Handbags,Handbags,140627-141426-NUI-MZ,1
141427,516.00,"Tory Burch Marion Slouchy Black Leather Chain Shoulder Bag","Tory Burch",Handbags,Handbags,140627-141427-NUI-MZ,1
141428,540.00," Tory Burch Marion Black Leather Tote ","Tory Burch",Handbags,Handbags,140627-141428-NUI-SH,1
141429,516.00,"Tory Burch Marion Slouchy Blue Leather Shoulder Bag","Tory Burch",Handbags,Handbags,140627-141429-NUI-MZ,1
141430,540.00," Tory Burch Marion Slouchy Blue Leather Shoulder Bag ","Tory Burch",Handbags,Handbags,140627-141430-NUI-SH,1
141447,228.00," Michael Kors Jet Set East West Pink Leather Tote ","Michael Kors",Handbags,Handbags,140629-141447-PBP-SH,1
141449,228.00," Michael Kors Jet Set East West Pink Leather Tote ","Michael Kors",Handbags,Handbags,140629-141449-PBP-MZ,1
141450,228.00," Michael Kors Jet Set East West Brown Leather Tote ","Michael Kors",Handbags,Handbags,140629-141450-PBP-SH,1
